kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"427573","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1556325000
"427573","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",72400000
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",118000000
"403830","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",94500000
"427618","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"238755","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",118694000
"427630","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",9426000
"634146","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",29600000
"634146","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",7000000
"403875","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",68900000
"403875","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",22500000
"403827","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"440013","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",276980000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",35000000
"622035","032","03212","424922","0000000","0000","000","0","0","0","00000000","0000","2",61830000
"622035","032","03212","424119","0000000","0000","000","0","0","0","00000000","0000","2",2840171000
"427511","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",24900000
"427511","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",180500000
"238010","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",36500000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",10107000
"427551","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",37400000
"403817","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",5165000
"403823","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",13060000
"652009","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",192000000
"403829","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1319000
"403838","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",6300000
"403838","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",13000000
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14000000
"427582","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",111858000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",21915000
"403837","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",40000000
"238762","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",1229500000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3344000
"352595","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",6087000
"352595","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",2750000
"440013","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",50800000
"622035","032","03212","424118","0000000","0000","000","0","0","0","00000000","0000","2",990000000
"427511","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",747000000
"427511","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",780928000
"238010","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",44400000
"238010","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"403817","032","03212","425434","0000000","0000","000","0","0","0","00000000","0000","2",50000
"403832","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",184135000
"403838","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",45500000
"427618","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",8250000
"238762","032","03212","425692","0000000","0000","000","0","0","0","00000000","0000","2",30000000
"238762","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",4750000
"440013","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14985000
"403827","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",57000000
"403828","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",116050000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",20000000
"238010","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",489060000
"427551","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",99900000
"427582","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",140000000
"403839","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",375600000
"634146","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",143950000
"403837","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",150000000
"352595","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",2840000
"440013","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",60100000
"403828","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4000000
"622035","032","03212","424112","0000000","0000","000","0","0","0","00000000","0000","2",448500000
"403835","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"427573","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",11350000
"403823","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14276000
"403830","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",70000000
"634146","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"427630","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",184600000
"403837","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",30000000
"238762","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",155550000
